epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1318.8,0.28431,0.08837,0.05323,0.1983,0.91465,0.99982,1,0.995,0.99253,0.99327,0.99344,0.99444,0.99444,0.17179,0.07044,0.00315,0.12078,0.80649,0.006832,0.006832,0.006832
98,1324.81,0.29291,0.07853,0.04621,0.20567,0.91579,0.99982,1,0.995,0.99483,0.99326,0.99344,0.99243,0.99243,0.1691,0.06989,0.00887,0.12321,0.8044,0.006799,0.006799,0.006799
99,1330.75,0.28168,0.07065,0.04474,0.19886,0.91536,0.99982,1,0.995,0.99433,0.99327,0.99344,0.99158,0.99158,0.17281,0.07312,0.00226,0.12066,0.80568,0.006766,0.006766,0.006766
100,1336.72,0.29723,0.07948,0.04807,0.20405,0.91605,0.99982,1,0.995,0.995,0.99327,0.99344,0.99316,0.99316,0.17666,0.06992,0.01012,0.1179,0.80561,0.006733,0.006733,0.006733
101,1342.67,0.29363,0.07361,0.05072,0.20292,0.91719,0.9998,1,0.995,0.99473,0.99325,0.99344,0.99381,0.99343,0.16137,0.06971,0.00569,0.11907,0.8038,0.0067,0.0067,0.0067
102,1348.6,0.28323,0.06729,0.046,0.19671,0.91304,0.99979,1,0.995,0.99497,0.99324,0.99344,0.98982,0.98982,0.1639,0.06913,0.00409,0.11723,0.80385,0.006667,0.006667,0.006667
103,1354.59,0.27942,0.07758,0.04841,0.19824,0.9102,0.99982,1,0.995,0.99495,0.99327,0.99344,0.99383,0.99383,0.16487,0.07026,0.00455,0.12887,0.80474,0.006634,0.006634,0.006634
104,1360.47,0.27904,0.07088,0.04352,0.19437,0.91201,0.9998,1,0.995,0.99496,0.99324,0.99344,0.99204,0.99204,0.16199,0.07059,0.00789,0.11563,0.80418,0.006601,0.006601,0.006601
105,1366.37,0.27966,0.07879,0.04974,0.19683,0.91428,0.99982,1,0.995,0.995,0.99326,0.99344,0.99089,0.99089,0.17127,0.0689,0.00564,0.11412,0.80448,0.006568,0.006568,0.006568
106,1372.27,0.28602,0.07945,0.04477,0.20036,0.91312,0.99982,1,0.995,0.99046,0.99327,0.99344,0.99095,0.99072,0.18767,0.06382,0.00671,0.12105,0.80737,0.006535,0.006535,0.006535
107,1378.19,0.27975,0.05947,0.04559,0.1983,0.90968,0.99982,1,0.995,0.99467,0.99326,0.99344,0.99305,0.99305,0.17028,0.06886,0.00324,0.11338,0.80544,0.006502,0.006502,0.006502
108,1384.31,0.27867,0.06876,0.04636,0.19144,0.91205,0.99982,1,0.995,0.99295,0.99327,0.99344,0.99314,0.99314,0.17454,0.06795,0.00945,0.1135,0.80588,0.006469,0.006469,0.006469
109,1390.5,0.27933,0.06237,0.0424,0.19787,0.91067,0.99982,1,0.995,0.9938,0.99327,0.99344,0.99135,0.99135,0.16814,0.06717,0.0046,0.11598,0.80446,0.006436,0.006436,0.006436
110,1396.42,0.27934,0.06352,0.049,0.19358,0.91283,0.99981,1,0.995,0.99474,0.99325,0.99344,0.98962,0.98962,0.16832,0.06895,0.00688,0.11632,0.80474,0.006403,0.006403,0.006403
111,1402.32,0.27624,0.06486,0.04154,0.19296,0.91122,0.9998,1,0.995,0.99452,0.99324,0.99344,0.9889,0.9889,0.15828,0.06937,0.00464,0.11433,0.80309,0.00637,0.00637,0.00637
112,1408.19,0.28062,0.05995,0.04736,0.19706,0.91078,0.99982,1,0.995,0.99479,0.99327,0.99344,0.9887,0.9887,0.16755,0.06722,0.00802,0.11546,0.80476,0.006337,0.006337,0.006337
113,1414.14,0.27844,0.06005,0.03942,0.19534,0.9088,0.99982,1,0.995,0.99499,0.99326,0.99344,0.99067,0.99067,0.16798,0.06776,0.00262,0.11341,0.80344,0.006304,0.006304,0.006304
114,1420.05,0.27473,0.07891,0.04131,0.19372,0.91201,0.99979,1,0.995,0.995,0.99324,0.99344,0.99038,0.99038,0.16133,0.06833,0.00129,0.11644,0.80286,0.006271,0.006271,0.006271
115,1425.96,0.2771,0.06141,0.04185,0.19189,0.90996,0.99981,1,0.995,0.99476,0.99325,0.99344,0.98989,0.98989,0.16091,0.06865,0.00229,0.11012,0.80289,0.006238,0.006238,0.006238
116,1431.83,0.2778,0.06769,0.04472,0.19371,0.91095,0.99981,1,0.995,0.995,0.99326,0.99344,0.9927,0.9927,0.15903,0.06705,0.00589,0.10582,0.80304,0.006205,0.006205,0.006205
117,1437.78,0.27231,0.07595,0.0448,0.19086,0.91001,0.99982,1,0.995,0.99493,0.99326,0.99344,0.99122,0.9909,0.16384,0.06722,0.00292,0.10895,0.80387,0.006172,0.006172,0.006172
118,1443.67,0.27731,0.0592,0.03712,0.18993,0.90697,0.99982,1,0.995,0.995,0.99327,0.99344,0.9925,0.9925,0.14924,0.06805,0.0028,0.10425,0.80153,0.006139,0.006139,0.006139
119,1449.56,0.27558,0.06183,0.04206,0.18938,0.90946,0.99982,1,0.995,0.99499,0.99326,0.99344,0.98948,0.98948,0.14919,0.06742,0.00449,0.10842,0.80183,0.006106,0.006106,0.006106
120,1455.46,0.27605,0.05523,0.04125,0.18918,0.91483,0.99981,1,0.995,0.99499,0.99326,0.99344,0.99014,0.99014,0.15901,0.06813,0.00658,0.10613,0.80333,0.006073,0.006073,0.006073
121,1461.32,0.2736,0.06295,0.04232,0.18768,0.90906,0.99982,1,0.995,0.99332,0.99326,0.99344,0.98864,0.98864,0.17023,0.06475,0.00498,0.1099,0.8041,0.00604,0.00604,0.00604
122,1467.29,0.27253,0.05437,0.04019,0.18759,0.90944,0.99982,1,0.995,0.99475,0.99327,0.99344,0.98897,0.98897,0.15585,0.06772,0.00283,0.1066,0.80321,0.006007,0.006007,0.006007
123,1473.21,0.27255,0.05684,0.03725,0.19054,0.90822,0.99982,1,0.995,0.99491,0.99326,0.99344,0.991,0.991,0.1532,0.06627,0.00293,0.10817,0.80249,0.005974,0.005974,0.005974
